H|182789|26-DEC-2017|1243401|DT|P|F
P|R|26-DEC-2017|3|10|PQPC|-3
P|R|26-DEC-2017|3|10|PQQC|-3
P|R|26-DEC-2017|3|10|PQSK|-3
P|R|26-DEC-2017|3|10|PQXY|-3
P|R|26-DEC-2017|3|11|MBSI|29
P|R|26-DEC-2017|3|11|MISI|20.12
P|R|26-DEC-2017|3|11|MNSI|15
P|R|26-DEC-2017|3|11|NYSI|-3
P|R|26-DEC-2017|3|11|ONZN|-3
P|R|26-DEC-2017|3|11|PQAT|-3
P|R|26-DEC-2017|3|11|PQBE|-3
P|R|26-DEC-2017|3|11|PQDA|-3
P|R|26-DEC-2017|3|11|PQDZ|-3
P|R|26-DEC-2017|3|11|PQHA|-3
P|R|26-DEC-2017|3|11|PQHZ|-3
P|R|26-DEC-2017|3|11|PQPC|-3
P|R|26-DEC-2017|3|11|PQQC|-3
P|R|26-DEC-2017|3|11|PQSK|-3
P|R|26-DEC-2017|3|11|PQXY|-3
P|R|26-DEC-2017|3|12|MBSI|29
P|R|26-DEC-2017|3|12|MISI|20.12
P|R|26-DEC-2017|3|12|MNSI|15
P|R|26-DEC-2017|3|12|NYSI|-3
P|R|26-DEC-2017|3|12|ONZN|-3
P|R|26-DEC-2017|3|12|PQAT|-3
P|R|26-DEC-2017|3|12|PQBE|-3
P|R|26-DEC-2017|3|12|PQDA|-3
P|R|26-DEC-2017|3|12|PQDZ|-3
P|R|26-DEC-2017|3|12|PQHA|-3
P|R|26-DEC-2017|3|12|PQHZ|-3
P|R|26-DEC-2017|3|12|PQPC|-3
P|R|26-DEC-2017|3|12|PQQC|-3
P|R|26-DEC-2017|3|12|PQSK|-3
P|R|26-DEC-2017|3|12|PQXY|-3
P|H|26-DEC-2017|4|0|ONZN|-3
P|R|26-DEC-2017|4|1|MBSI|-3
P|R|26-DEC-2017|4|1|MISI|23.5
P|R|26-DEC-2017|4|1|MNSI|20
P|R|26-DEC-2017|4|1|NYSI|-3
P|R|26-DEC-2017|4|1|ONZN|-3
P|R|26-DEC-2017|4|1|PQAT|-3
